Tiempo (s),Fuerza (N),Posición (m),Vector velocidad (m/s),Aceleración (m/s²)
0.000,-1.8,0.503,,
0.050,-1.9,0.503,-6.54E-4,
0.100,-1.9,0.503,0.02,0.2
0.150,-1.8,0.505,0.02,-0.2
0.200,-1.8,0.505,-1.01E-4,-0.2
0.250,-1.9,0.505,0.00,0.0
0.300,-1.8,0.505,0.00,-0.1
0.350,-1.9,0.505,0.00,0.1
0.400,-1.8,0.505,0.00,-0.2
0.450,-1.8,0.505,-0.02,-0.2
0.500,-1.8,0.503,-0.02,0.2
0.550,-1.9,0.503,0.00,0.2
0.600,-1.8,0.503,0.00,-5.0E-4
0.650,-1.9,0.503,0.00,0.0
0.700,-1.9,0.502,-5.03E-5,0.1
0.750,-1.8,0.503,0.00,0.0
0.800,-1.8,0.503,-2.51E-4,0.1
0.850,-1.9,0.503,0.01,0.1
0.900,-1.8,0.503,0.01,0.1
0.950,-1.9,0.503,0.02,0.1
1.000,-1.8,0.506,0.02,-0.2
1.050,-1.8,0.505,5.06E-5,-0.2
1.100,-1.8,0.506,0.00,-0.1
1.150,-1.8,0.505,-0.01,0.0
1.200,-1.8,0.505,0.00,-0.1
1.250,-1.8,0.505,-0.02,-0.2
1.300,-1.8,0.503,-0.02,0.1
1.350,-1.9,0.503,-0.01,0.1
1.400,-1.8,0.503,-0.01,0.0
1.450,-1.9,0.502,0.00,0.1
1.500,-1.9,0.502,-1.51E-4,0.1
1.550,-1.8,0.502,0.01,0.0
1.600,-1.8,0.503,0.00,0.0
1.650,-1.9,0.503,0.00,0.0
1.700,-1.8,0.503,0.01,0.2
1.750,-1.9,0.503,0.02,0.1
1.800,-1.8,0.505,0.02,-0.2
1.850,-1.9,0.505,0.00,-0.2
1.900,-1.9,0.505,0.00,0.1
1.950,-1.8,0.505,0.00,0.0
2.000,-1.8,0.505,0.00,-0.2
2.050,-1.9,0.505,-0.02,-0.2
2.100,-1.8,0.503,-0.02,0.1
2.150,-1.9,0.503,0.00,0.2
2.200,-1.8,0.503,-0.01,0.0
2.250,-1.8,0.503,0.00,0.1
2.300,-1.8,0.503,0.00,0.0
2.350,-1.8,0.503,-1.51E-4,0.1
2.400,-1.9,0.503,0.01,0.0
2.450,-1.9,0.503,0.00,0.2
2.500,-1.8,0.503,0.03,0.2
2.550,-1.9,0.506,0.02,-0.3
2.600,-1.8,0.506,0.00,-0.2
2.650,-1.8,0.506,0.00,0.0
2.700,-1.8,0.506,-0.01,-0.1
2.750,-1.9,0.505,0.00,-0.2
2.800,-1.8,0.505,-0.02,-0.2
2.850,-1.9,0.503,-0.02,0.2
2.900,-1.8,0.503,-0.01,0.2
2.950,-1.9,0.502,-0.01,0.1
3.000,-1.8,0.503,0.00,-1.0
3.050,-1.9,0.503,-0.10,-1.9
3.100,-1.8,0.492,-0.19,1.4
3.150,-1.9,0.484,0.03,1.9
3.200,-1.8,0.496,0.00,-1.0
3.250,-1.9,0.485,-0.07,0.3
3.300,-1.8,0.489,0.03,1.6
3.350,-1.9,0.488,0.09,0.4
3.400,-1.9,0.498,0.07,-1.6
3.450,-1.9,0.494,-0.07,-1.0
3.500,-2.0,0.491,-0.04,-1.1
3.550,-2.0,0.490,-0.18,-1.1
3.600,-2.2,0.473,-0.15,2.1
3.650,-2.3,0.476,0.04,1.5
3.700,-2.6,0.477,0.01,-0.2
3.750,-2.7,0.477,0.01,0.0
3.800,-2.8,0.478,0.01,-0.8
3.850,-2.9,0.478,-0.06,-0.2
3.900,-3.2,0.472,-0.01,0.6
3.950,-3.5,0.477,0.00,-0.3
4.000,-3.7,0.472,-0.04,0.4
4.050,-3.9,0.473,0.04,0.9
4.100,-4.1,0.475,0.04,-0.3
4.150,-4.2,0.477,0.01,-1.2
4.200,-4.3,0.476,-0.07,-0.5
4.250,-4.7,0.470,-0.04,0.6
4.300,-5.0,0.472,-0.01,-0.1
4.350,-5.2,0.469,-0.05,0.3
4.400,-5.2,0.467,0.01,0.6
4.450,-5.3,0.470,0.02,-0.6
4.500,-5.5,0.469,-0.04,-1.0
4.550,-5.8,0.466,-0.09,-0.6
4.600,-6.1,0.460,-0.10,0.3
4.650,-6.4,0.456,-0.05,0.5
4.700,-6.6,0.455,-0.06,-0.6
4.750,-6.7,0.450,-0.11,-0.4
4.800,-6.9,0.443,-0.10,0.9
4.850,-7.1,0.440,-0.02,0.9
4.900,-7.0,0.441,-0.01,0.2
4.950,-6.9,0.439,0.00,0.8
5.000,-6.6,0.441,0.07,2.8
5.050,-6.3,0.446,0.28,2.4
5.100,-5.6,0.469,0.31,-1.7
5.150,-4.7,0.477,0.11,-2.2
5.200,-3.5,0.479,0.09,-0.4
5.250,-2.6,0.486,0.07,-1.3
5.300,-2.0,0.486,-0.04,-1.4
5.350,-2.0,0.482,-0.07,-0.5
5.400,-2.2,0.479,-0.09,1.0
5.450,-2.5,0.473,0.03,0.4
5.500,-2.6,0.482,-0.06,-1.4
5.550,-2.5,0.467,-0.12,1.9
5.600,-2.4,0.470,0.13,1.2
5.650,-2.0,0.480,0.01,-1.5
5.700,-2.0,0.471,-0.02,1.3
5.750,-2.0,0.479,0.14,0.7
5.800,-2.1,0.484,0.05,-0.7
5.850,-2.0,0.484,0.07,1.3
5.900,-1.8,0.491,0.18,0.7
5.950,-2.0,0.502,0.14,-1.4
6.000,-2.0,0.505,0.04,-1.3
6.050,-1.9,0.506,0.01,-0.6
6.100,-1.8,0.506,-0.03,-0.3
6.150,-1.9,0.503,-0.02,0.3
6.200,-1.8,0.503,0.01,0.3
6.250,-1.9,0.503,0.00,-0.1
6.300,-1.8,0.503,1.01E-4,-0.1
6.350,-1.9,0.503,0.00,-0.1
6.400,-1.8,0.503,-0.01,0.0
6.450,-1.9,0.503,0.00,0.1
6.500,-1.8,0.503,-7.54E-4,0.3
6.550,-1.9,0.502,0.03,0.4
6.600,-1.8,0.505,0.04,-0.2
6.650,-1.9,0.506,0.01,-0.5
6.700,-1.8,0.506,-0.01,-1.5
6.750,-1.9,0.505,-0.15,0.1
6.800,-1.8,0.491,0.00,2.9
6.850,-1.9,0.505,0.15,-0.2
6.900,-1.8,0.506,-0.02,-1.7
6.950,-1.9,0.503,-0.03,0.2
7.000,-1.8,0.503,-0.01,0.3
7.050,-1.9,0.503,0.00,0.0
7.100,-1.8,0.503,0.00,0.0
7.150,-1.8,0.503,0.00,0.0
7.200,-1.8,0.503,0.00,0.1
7.250,-1.9,0.503,0.00,0.2
7.300,-1.8,0.503,0.02,0.2
7.350,-1.9,0.505,0.02,-0.1
7.400,-1.8,0.505,0.01,-0.2
7.450,-1.9,0.506,2.02E-4,-0.2
7.500,-1.8,0.505,-0.01,0.0
7.550,-1.9,0.505,0.00,0.1
7.600,-1.8,0.505,-1.01E-4,0.0
7.650,-1.9,0.505,0.00,-0.2
7.700,-1.8,0.506,-0.02,-0.4
7.750,-1.9,0.503,-0.03,0.2
7.800,-1.8,0.503,0.00,0.4
7.850,-1.9,0.503,0.00,0.0
7.900,-1.8,0.503,0.00,0.0
7.950,-1.9,0.503,5.03E-5,0.0
8.000,-1.8,0.503,0.00,0.0
8.050,-1.8,0.503,0.00,0.3
8.100,-1.8,0.503,0.02,0.2
8.150,-1.8,0.505,0.02,-0.2
8.200,-1.9,0.506,0.01,-0.4
8.250,-1.8,0.506,-0.01,-0.1
8.300,-1.9,0.505,0.00,0.2
8.350,-1.8,0.506,0.01,0.0
8.400,-1.8,0.506,-1.01E-4,0.0
8.450,-1.9,0.505,0.00,-0.2
8.500,-1.8,0.506,-0.02,-0.4
8.550,-1.8,0.503,-0.03,0.2
8.600,-1.9,0.503,0.00,0.3
8.650,-1.8,0.503,5.03E-5,0.0
8.700,-1.8,0.503,0.00,0.0
8.750,-1.9,0.503,0.00,0.1
8.800,-1.8,0.503,0.00,-0.4
8.850,-1.8,0.503,-0.04,-0.8
8.900,-1.9,0.499,-0.08,0.0
8.950,-1.8,0.495,-0.04,1.8
9.000,-1.9,0.495,0.10,1.4
9.050,-1.8,0.506,0.10,-1.1
9.100,-1.9,0.505,-0.01,-0.9
9.150,-1.8,0.505,0.01,-0.6
9.200,-1.9,0.505,-0.06,-1.0
9.250,-1.8,0.499,-0.09,0.3
9.300,-1.9,0.496,-0.03,1.1
9.350,-1.8,0.496,0.02,0.9
9.400,-1.9,0.498,0.06,0.2
9.450,-1.8,0.503,0.04,-0.6
9.500,-1.9,0.502,0.00,-0.3
9.550,-1.9,0.503,0.01,0.0
9.600,-1.8,0.503,0.00,-0.1
9.650,-1.9,0.503,0.00,0.1
9.700,-1.9,0.503,0.02,0.0
9.750,-1.8,0.505,-0.01,-0.5
9.800,-2.0,0.502,-0.03,0.1
