Tiempo (s),Fuerza (N),Posición (m),Vector velocidad (m/s),Aceleración (m/s²)
0.000,-1.8,0.429,,
0.050,-1.8,0.429,-4.29E-5,
0.100,-1.8,0.429,0.00,0.2
0.150,-1.8,0.429,0.02,0.2
0.200,-1.8,0.431,0.02,-0.2
0.250,-1.9,0.431,-0.01,-0.5
0.300,-1.9,0.431,-0.04,0.1
0.350,-2.0,0.428,2.15E-4,0.3
0.400,-2.1,0.431,-0.01,-0.4
0.450,-2.1,0.427,-0.04,0.1
0.500,-2.1,0.427,0.00,0.4
0.550,-2.1,0.427,-8.79E-4,-1.1
0.600,-2.1,0.427,-0.10,-2.4
0.650,-3.2,0.417,-0.24,-0.8
0.700,-4.8,0.403,-0.19,2.6
0.750,-5.4,0.398,0.03,4.2
0.800,-4.3,0.406,0.23,1.6
0.850,-2.6,0.421,0.19,-3.1
0.900,-2.2,0.424,-0.08,-4.2
0.950,-3.3,0.413,-0.24,-0.9
1.000,-5.0,0.400,-0.17,3.2
1.050,-5.1,0.396,0.08,4.3
1.100,-3.9,0.409,0.26,0.8
1.150,-2.4,0.422,0.17,-3.8
1.200,-2.4,0.425,-0.12,-4.2
1.250,-3.6,0.410,-0.26,0.0
1.300,-5.2,0.399,-0.12,3.8
1.350,-5.0,0.398,0.12,3.8
1.400,-3.7,0.411,0.26,0.1
1.450,-2.3,0.424,0.14,-3.8
1.500,-2.6,0.425,-0.12,-3.8
1.550,-4.0,0.411,-0.25,0.4
1.600,-5.3,0.400,-0.08,4.1
1.650,-5.0,0.403,0.16,3.1
1.700,-3.4,0.417,0.23,-1.3
1.750,-2.3,0.426,0.03,-4.3
1.800,-2.7,0.420,-0.21,-2.4
1.850,-4.3,0.405,-0.21,1.7
1.900,-5.4,0.398,-0.03,3.9
1.950,-4.7,0.402,0.18,2.5
2.000,-3.1,0.416,0.22,-0.8
2.050,-2.3,0.424,0.10,-4.2
2.100,-2.8,0.426,-0.20,-3.9
2.150,-4.4,0.403,-0.29,2.1
2.200,-5.1,0.396,0.01,5.0
2.250,-4.5,0.404,0.21,1.9
2.300,-3.0,0.417,0.20,-2.2
2.350,-2.2,0.423,-0.01,-3.9
2.400,-2.9,0.416,-0.19,-1.4
2.450,-4.6,0.404,-0.15,2.3
2.500,-5.1,0.400,0.04,3.8
2.550,-4.2,0.408,0.22,1.4
2.600,-2.8,0.423,0.18,-2.9
2.650,-2.3,0.426,-0.06,-4.0
2.700,-3.3,0.417,-0.22,-0.9
2.750,-4.9,0.403,-0.16,2.8
2.800,-5.0,0.401,0.06,3.5
2.850,-4.0,0.409,0.19,0.7
2.900,-2.7,0.420,0.13,-2.9
2.950,-2.5,0.422,-0.09,-3.5
3.000,-3.6,0.411,-0.23,-0.2
3.050,-5.0,0.399,-0.12,3.4
3.100,-4.9,0.399,0.12,3.4
3.150,-3.7,0.411,0.22,-0.2
3.200,-2.6,0.421,0.10,-3.4
3.250,-2.6,0.420,-0.12,-3.3
3.300,-3.9,0.409,-0.23,0.4
3.350,-5.1,0.398,-0.08,3.8
3.400,-4.9,0.400,0.15,3.2
3.450,-3.5,0.413,0.24,-0.6
3.500,-2.5,0.424,0.09,-3.8
3.550,-2.7,0.422,-0.14,-3.0
3.600,-4.1,0.410,-0.20,1.0
3.650,-5.2,0.402,-0.04,3.6
3.700,-4.6,0.406,0.16,2.0
3.750,-3.2,0.417,0.16,-1.6
3.800,-2.5,0.422,0.00,-3.2
3.850,-3.0,0.417,-0.16,-1.8
3.900,-4.3,0.407,-0.19,1.4
3.950,-5.0,0.398,-0.02,3.7
4.000,-4.3,0.405,0.18,1.9
4.050,-3.0,0.416,0.17,-1.9
4.100,-2.5,0.422,-0.01,-3.6
4.150,-3.1,0.415,-0.19,-1.5
4.200,-4.5,0.403,-0.17,2.3
4.250,-5.0,0.399,0.04,3.6
4.300,-4.2,0.406,0.19,1.1
4.350,-2.9,0.418,0.15,-2.4
4.400,-2.6,0.421,-0.05,-3.2
4.450,-3.4,0.413,-0.17,-0.6
4.500,-4.7,0.404,-0.10,2.5
4.550,-4.9,0.403,0.08,3.0
4.600,-4.0,0.412,0.20,0.4
4.650,-2.8,0.423,0.12,-3.0
4.700,-2.7,0.423,-0.11,-3.2
4.750,-3.6,0.412,-0.20,0.2
4.800,-5.0,0.403,-0.08,2.8
4.850,-4.9,0.404,0.08,2.5
4.900,-3.7,0.411,0.16,0.0
4.950,-2.7,0.420,0.08,-2.7
5.000,-2.8,0.419,-0.11,-2.7
5.050,-3.9,0.409,-0.20,0.4
5.100,-5.0,0.399,-0.07,3.3
5.150,-4.6,0.402,0.13,2.6
5.200,-3.4,0.413,0.19,-0.8
5.250,-2.7,0.421,0.05,-3.3
5.300,-2.9,0.418,-0.14,-2.4
5.350,-4.1,0.407,-0.19,1.1
5.400,-5.0,0.399,-0.03,3.4
5.450,-4.5,0.404,0.15,2.3
5.500,-3.2,0.415,0.20,-1.3
5.550,-2.7,0.423,0.02,-3.5
5.600,-2.9,0.417,-0.15,-1.6
5.650,-4.3,0.408,-0.14,1.6
5.700,-4.9,0.404,0.01,2.9
5.750,-4.3,0.409,0.16,1.4
5.800,-2.9,0.419,0.14,-2.1
5.850,-2.6,0.423,-0.05,-3.2
5.900,-3.1,0.415,-0.17,-1.0
5.950,-4.5,0.406,-0.15,1.9
6.000,-4.8,0.400,0.01,3.2
6.050,-4.0,0.407,0.17,1.1
6.100,-2.9,0.417,0.13,-2.2
6.150,-2.7,0.420,-0.05,-3.0
6.200,-3.3,0.412,-0.18,-0.7
6.250,-4.6,0.402,-0.12,2.5
